orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight
10357,LILAS,1,19/11/2013,17/12/2013,02/12/2013,3,34.88
10358,LAMAI,5,20/11/2013,18/12/2013,27/11/2013,1,19.64
10359,SEVES,5,21/11/2013,19/12/2013,26/11/2013,3,288.43
10360,BLONP,4,22/11/2013,20/12/2013,02/12/2013,3,131.7
10361,QUICK,1,22/11/2013,20/12/2013,03/12/2013,2,183.17
10362,BONAP,3,25/11/2013,23/12/2013,28/11/2013,1,96.04
10363,DRACD,4,26/11/2013,24/12/2013,04/12/2013,3,30.54
10364,EASTC,1,26/11/2013,07/01/2014,04/12/2013,1,71.97
10365,ANTON,3,27/11/2013,25/12/2013,02/12/2013,2,22.0
10366,GALED,8,28/11/2013,09/01/2014,30/12/2013,2,10.14
10367,VAFFE,7,28/11/2013,26/12/2013,02/12/2013,3,13.55
10368,ERNSH,2,29/11/2013,27/12/2013,02/12/2013,2,101.95
10369,SPLIR,8,02/12/2013,30/12/2013,09/12/2013,2,195.68
10370,CHOPS,6,03/12/2013,31/12/2013,27/12/2013,2,1.17
10371,LAMAI,1,03/12/2013,31/12/2013,24/12/2013,1,0.45
10372,QUEEN,5,04/12/2013,01/01/2014,09/12/2013,2,890.78
10373,HUNGO,4,05/12/2013,02/01/2014,11/12/2013,3,124.12
10374,WOLZA,1,05/12/2013,02/01/2014,09/12/2013,3,3.94
10375,HUNGC,3,06/12/2013,03/01/2014,09/12/2013,2,20.12
10376,MEREP,1,09/12/2013,06/01/2014,13/12/2013,2,20.39
10377,SEVES,1,09/12/2013,06/01/2014,13/12/2013,3,22.21
10378,FOLKO,5,10/12/2013,07/01/2014,19/12/2013,3,5.44
10379,QUEDE,2,11/12/2013,08/01/2014,13/12/2013,1,45.03
10380,HUNGO,8,12/12/2013,09/01/2014,16/01/2014,3,35.03
10381,LILAS,3,12/12/2013,09/01/2014,13/12/2013,3,7.99
10382,ERNSH,4,13/12/2013,10/01/2014,16/12/2013,1,94.77
10383,AROUT,8,16/12/2013,13/01/2014,18/12/2013,3,34.24
10384,BERGS,3,16/12/2013,13/01/2014,20/12/2013,3,168.64
10385,SPLIR,1,17/12/2013,14/01/2014,23/12/2013,2,30.96
10386,FAMIA,9,18/12/2013,01/01/2014,25/12/2013,3,13.99
10387,SANTG,1,18/12/2013,15/01/2014,20/12/2013,2,93.63
10388,SEVES,2,19/12/2013,16/01/2014,20/12/2013,1,34.86
10389,BOTTM,4,20/12/2013,17/01/2014,24/12/2013,2,47.42
10390,ERNSH,6,23/12/2013,20/01/2014,26/12/2013,1,126.38
10391,DRACD,3,23/12/2013,20/01/2014,31/12/2013,3,5.45
10392,PICCO,2,24/12/2013,21/01/2014,01/01/2014,3,122.46
10393,SAVEA,1,25/12/2013,22/01/2014,03/01/2014,3,126.56
10394,HUNGC,1,25/12/2013,22/01/2014,03/01/2014,3,30.34
10395,HILAA,6,26/12/2013,23/01/2014,03/01/2014,1,184.41
10396,FRANK,1,27/12/2013,10/01/2014,06/01/2014,3,135.35
10397,PRINI,5,27/12/2013,24/01/2014,02/01/2014,1,60.26
10398,SAVEA,2,30/12/2013,27/01/2014,09/01/2014,3,89.16
10399,VAFFE,8,31/12/2013,14/01/2014,08/01/2014,3,27.36
10400,EASTC,1,01/01/2014,29/01/2014,16/01/2014,3,83.93
10401,RATTC,1,01/01/2014,29/01/2014,10/01/2014,1,12.51
10402,ERNSH,8,02/01/2014,13/02/2014,10/01/2014,2,67.88
10403,ERNSH,4,03/01/2014,31/01/2014,09/01/2014,3,73.79
10404,MAGAA,2,03/01/2014,31/01/2014,08/01/2014,1,155.97
10405,LINOD,1,06/01/2014,03/02/2014,22/01/2014,1,34.82
10406,QUEEN,7,07/01/2014,18/02/2014,13/01/2014,1,108.04
10407,OTTIK,2,07/01/2014,04/02/2014,30/01/2014,2,91.48
10408,FOLIG,8,08/01/2014,05/02/2014,14/01/2014,1,11.26
10409,OCEAN,3,09/01/2014,06/02/2014,14/01/2014,1,29.83
10410,BOTTM,3,10/01/2014,07/02/2014,15/01/2014,3,2.4
10411,BOTTM,9,10/01/2014,07/02/2014,21/01/2014,3,23.65
10412,WARTH,8,13/01/2014,10/02/2014,15/01/2014,2,3.77
10413,LAMAI,3,14/01/2014,11/02/2014,16/01/2014,2,95.66
10414,FAMIA,2,14/01/2014,11/02/2014,17/01/2014,3,21.48
10415,HUNGC,3,15/01/2014,12/02/2014,24/01/2014,1,0.2
10416,WARTH,8,16/01/2014,13/02/2014,27/01/2014,3,22.72
10417,SIMOB,4,16/01/2014,13/02/2014,28/01/2014,3,70.29
10418,QUICK,4,17/01/2014,14/02/2014,24/01/2014,1,17.55
10419,RICSU,4,20/01/2014,17/02/2014,30/01/2014,2,137.35
10420,WELLI,3,21/01/2014,18/02/2014,27/01/2014,1,44.12
10421,QUEDE,8,21/01/2014,04/03/2014,27/01/2014,1,99.23
10422,FRANS,2,22/01/2014,19/02/2014,31/01/2014,1,3.02
10423,GOURL,6,23/01/2014,06/02/2014,24/02/2014,3,24.5
10424,MEREP,7,23/01/2014,20/02/2014,27/01/2014,2,370.61
10425,LAMAI,6,24/01/2014,21/02/2014,14/02/2014,2,7.93
10426,GALED,4,27/01/2014,24/02/2014,06/02/2014,1,18.69
10427,PICCO,4,27/01/2014,24/02/2014,03/03/2014,2,31.29
10428,REGGC,7,28/01/2014,25/02/2014,04/02/2014,1,11.09
10429,HUNGO,3,29/01/2014,12/03/2014,07/02/2014,2,56.63
10430,ERNSH,4,30/01/2014,13/02/2014,03/02/2014,1,458.78
10431,BOTTM,4,30/01/2014,13/02/2014,07/02/2014,2,44.17
10432,SPLIR,3,31/01/2014,14/02/2014,07/02/2014,2,4.34
10433,PRINI,3,03/02/2014,03/03/2014,04/03/2014,3,73.83
10434,FOLKO,3,03/02/2014,03/03/2014,13/02/2014,2,17.92
10435,CONSH,8,04/02/2014,18/03/2014,07/02/2014,2,9.21
10436,BLONP,3,05/02/2014,05/03/2014,11/02/2014,2,156.66
10437,WARTH,8,05/02/2014,05/03/2014,12/02/2014,1,19.97
10438,TOMSP,3,06/02/2014,06/03/2014,14/02/2014,2,8.24
10439,MEREP,6,07/02/2014,07/03/2014,10/02/2014,3,4.07
10440,SAVEA,4,10/02/2014,10/03/2014,28/02/2014,2,86.53
10441,OLDWO,3,10/02/2014,24/03/2014,14/03/2014,2,73.02
10442,ERNSH,3,11/02/2014,11/03/2014,18/02/2014,2,47.94
10443,REGGC,8,12/02/2014,12/03/2014,14/02/2014,1,13.95
10444,BERGS,3,12/02/2014,12/03/2014,21/02/2014,3,3.5
10445,BERGS,3,13/02/2014,13/03/2014,20/02/2014,1,9.3
10446,TOMSP,6,14/02/2014,14/03/2014,19/02/2014,1,14.68
10447,RICAR,4,14/02/2014,14/03/2014,07/03/2014,2,68.66
10448,RANCH,4,17/02/2014,17/03/2014,24/02/2014,2,38.82
10449,BLONP,3,18/02/2014,18/03/2014,27/02/2014,2,53.3
10450,VICTE,8,19/02/2014,19/03/2014,11/03/2014,2,7.23
10451,QUICK,4,19/02/2014,05/03/2014,12/03/2014,3,189.09
10452,SAVEA,8,20/02/2014,20/03/2014,26/02/2014,1,140.26
10453,AROUT,1,21/02/2014,21/03/2014,26/02/2014,2,25.36
10454,LAMAI,4,21/02/2014,21/03/2014,25/02/2014,3,2.74
10455,WARTH,8,24/02/2014,07/04/2014,03/03/2014,2,180.45
10456,KOENE,8,25/02/2014,08/04/2014,28/02/2014,2,8.12
10457,KOENE,2,25/02/2014,25/03/2014,03/03/2014,1,11.57
10458,SUPRD,7,26/02/2014,26/03/2014,04/03/2014,3,147.06
10459,VICTE,4,27/02/2014,27/03/2014,28/02/2014,2,25.09
10460,FOLKO,8,28/02/2014,28/03/2014,03/03/2014,1,16.27
10461,LILAS,1,28/02/2014,28/03/2014,05/03/2014,3,148.61
10462,CONSH,2,03/03/2014,31/03/2014,18/03/2014,1,6.17
10463,SUPRD,5,04/03/2014,01/04/2014,06/03/2014,3,14.78
10464,FURIB,4,04/03/2014,01/04/2014,14/03/2014,2,89.0
10465,VAFFE,1,05/03/2014,02/04/2014,14/03/2014,3,145.04
10466,COMMI,4,06/03/2014,03/04/2014,13/03/2014,1,11.93
10467,MAGAA,8,06/03/2014,03/04/2014,11/03/2014,2,4.93
10468,KOENE,3,07/03/2014,04/04/2014,12/03/2014,3,44.12
10469,WHITC,1,10/03/2014,07/04/2014,14/03/2014,1,60.18
10470,BONAP,4,11/03/2014,08/04/2014,14/03/2014,2,64.56
10471,BSBEV,2,11/03/2014,08/04/2014,18/03/2014,3,45.59
10472,SEVES,8,12/03/2014,09/04/2014,19/03/2014,1,4.2
10473,ISLAT,1,13/03/2014,27/03/2014,21/03/2014,3,16.37
10474,PERIC,5,13/03/2014,10/04/2014,21/03/2014,2,83.49
10475,SUPRD,9,14/03/2014,11/04/2014,04/04/2014,1,68.52
10476,HILAA,8,17/03/2014,14/04/2014,24/03/2014,3,4.41
10477,PRINI,5,17/03/2014,14/04/2014,25/03/2014,2,13.02
10478,VICTE,2,18/03/2014,01/04/2014,26/03/2014,3,4.81
10479,RATTC,3,19/03/2014,16/04/2014,21/03/2014,3,708.95
10480,FOLIG,6,20/03/2014,17/04/2014,24/03/2014,2,1.35
10481,RICAR,8,20/03/2014,17/04/2014,25/03/2014,2,64.33
10482,LAZYK,1,21/03/2014,18/04/2014,10/04/2014,3,7.48
10483,WHITC,7,24/03/2014,21/04/2014,25/04/2014,2,15.28
10484,BSBEV,3,24/03/2014,21/04/2014,01/04/2014,3,6.88
10485,LINOD,4,25/03/2014,08/04/2014,31/03/2014,2,64.45
10486,HILAA,1,26/03/2014,23/04/2014,02/04/2014,2,30.53
10487,QUEEN,2,26/03/2014,23/04/2014,28/03/2014,2,71.07
10488,FRANK,8,27/03/2014,24/04/2014,02/04/2014,2,4.93
10489,PICCO,6,28/03/2014,25/04/2014,09/04/2014,2,5.29
10490,HILAA,7,31/03/2014,28/04/2014,03/04/2014,2,210.19
10491,FURIB,8,31/03/2014,28/04/2014,08/04/2014,3,16.96
10492,BOTTM,3,01/04/2014,29/04/2014,11/04/2014,1,62.89
10493,LAMAI,4,02/04/2014,30/04/2014,10/04/2014,3,10.64
10494,COMMI,4,02/04/2014,30/04/2014,09/04/2014,2,65.99
10495,LAUGB,3,03/04/2014,01/05/2014,11/04/2014,3,4.65
10496,TRADH,7,04/04/2014,02/05/2014,07/04/2014,2,46.77
10497,LEHMS,7,04/04/2014,02/05/2014,07/04/2014,1,36.21
10498,HILAA,8,07/04/2014,05/05/2014,11/04/2014,2,29.75
10499,LILAS,4,08/04/2014,06/05/2014,16/04/2014,2,102.02
10500,LAMAI,6,09/04/2014,07/05/2014,17/04/2014,1,42.68
10501,BLAUS,9,09/04/2014,07/05/2014,16/04/2014,3,8.85
10502,PERIC,2,10/04/2014,08/05/2014,29/04/2014,1,69.32
10503,HUNGO,6,11/04/2014,09/05/2014,16/04/2014,2,16.74
10504,WHITC,4,11/04/2014,09/05/2014,18/04/2014,3,59.13
10505,MEREP,3,14/04/2014,12/05/2014,21/04/2014,3,7.13
10506,KOENE,9,15/04/2014,13/05/2014,02/05/2014,2,21.19
10507,ANTON,7,15/04/2014,13/05/2014,22/04/2014,1,47.45
10508,OTTIK,1,16/04/2014,14/05/2014,13/05/2014,2,4.99
10509,BLAUS,4,17/04/2014,15/05/2014,29/04/2014,1,0.15
10510,SAVEA,6,18/04/2014,16/05/2014,28/04/2014,3,367.63
10511,BONAP,4,18/04/2014,16/05/2014,21/04/2014,3,350.64
10512,FAMIA,7,21/04/2014,19/05/2014,24/04/2014,2,3.53
10513,WANDK,7,22/04/2014,03/06/2014,28/04/2014,1,105.65
10514,ERNSH,3,22/04/2014,20/05/2014,16/05/2014,2,789.95
10515,QUICK,2,23/04/2014,07/05/2014,23/05/2014,1,204.47
10516,HUNGO,2,24/04/2014,22/05/2014,01/05/2014,3,62.78
10517,NORTS,3,24/04/2014,22/05/2014,29/04/2014,3,32.07
10518,TORTU,4,25/04/2014,09/05/2014,05/05/2014,2,218.15
10519,CHOPS,6,28/04/2014,26/05/2014,01/05/2014,3,91.76
10520,SANTG,7,29/04/2014,27/05/2014,01/05/2014,1,13.37
10521,CACTU,8,29/04/2014,27/05/2014,02/05/2014,2,17.22
10522,LEHMS,4,30/04/2014,28/05/2014,06/05/2014,1,45.33
10523,SEVES,7,01/05/2014,29/05/2014,30/05/2014,2,77.63
10524,BERGS,1,01/05/2014,29/05/2014,07/05/2014,2,244.79
10525,BONAP,1,02/05/2014,30/05/2014,23/05/2014,2,11.06
10526,WARTH,4,05/05/2014,02/06/2014,15/05/2014,2,58.59
10527,QUICK,7,05/05/2014,02/06/2014,07/05/2014,1,41.9
10528,GREAL,6,06/05/2014,20/05/2014,09/05/2014,2,3.35
10529,MAISD,5,07/05/2014,04/06/2014,09/05/2014,2,66.69
10530,PICCO,3,08/05/2014,05/06/2014,12/05/2014,2,339.22
10531,OCEAN,7,08/05/2014,05/06/2014,19/05/2014,1,8.12
10532,EASTC,7,09/05/2014,06/06/2014,12/05/2014,3,74.46
10533,FOLKO,8,12/05/2014,09/06/2014,22/05/2014,1,188.04
10534,LEHMS,8,12/05/2014,09/06/2014,14/05/2014,2,27.94
10535,ANTON,4,13/05/2014,10/06/2014,21/05/2014,1,15.64
10536,LEHMS,3,14/05/2014,11/06/2014,06/06/2014,2,58.88
10537,RICSU,1,14/05/2014,28/05/2014,19/05/2014,1,78.85
10538,BSBEV,9,15/05/2014,12/06/2014,16/05/2014,3,4.87
10539,BSBEV,6,16/05/2014,13/06/2014,23/05/2014,3,12.36
10540,QUICK,3,19/05/2014,16/06/2014,13/06/2014,3,1007.64
10541,HANAR,2,19/05/2014,16/06/2014,29/05/2014,1,68.65
10542,KOENE,1,20/05/2014,17/06/2014,26/05/2014,3,10.95
10543,LILAS,8,21/05/2014,18/06/2014,23/05/2014,2,48.17
10544,LONEP,4,21/05/2014,18/06/2014,30/05/2014,1,24.91
10545,LAZYK,8,22/05/2014,19/06/2014,26/06/2014,2,11.92
10546,VICTE,1,23/05/2014,20/06/2014,27/05/2014,3,194.72
10547,SEVES,3,23/05/2014,20/06/2014,02/06/2014,2,178.43
10548,TOMSP,3,26/05/2014,23/06/2014,02/06/2014,2,1.43
10549,QUICK,5,27/05/2014,10/06/2014,30/05/2014,1,171.24
10550,GODOS,7,28/05/2014,25/06/2014,06/06/2014,3,4.32
10551,FURIB,4,28/05/2014,09/07/2014,06/06/2014,3,72.95
10552,HILAA,2,29/05/2014,26/06/2014,05/06/2014,1,83.22
10553,WARTH,2,30/05/2014,27/06/2014,03/06/2014,2,149.49
10554,OTTIK,4,30/05/2014,27/06/2014,05/06/2014,3,120.97
10555,SAVEA,6,02/06/2014,30/06/2014,04/06/2014,3,252.49
10556,SIMOB,2,03/06/2014,15/07/2014,13/06/2014,1,9.8
10557,LEHMS,9,03/06/2014,17/06/2014,06/06/2014,2,96.72
10558,AROUT,1,04/06/2014,02/07/2014,10/06/2014,2,72.97
10559,BLONP,6,05/06/2014,03/07/2014,13/06/2014,1,8.05
10560,FRANK,8,06/06/2014,04/07/2014,09/06/2014,1,36.65
10561,FOLKO,2,06/06/2014,04/07/2014,09/06/2014,2,242.21
10562,REGGC,1,09/06/2014,07/07/2014,12/06/2014,1,22.95
10563,RICAR,2,10/06/2014,22/07/2014,24/06/2014,2,60.43
10564,RATTC,4,10/06/2014,08/07/2014,16/06/2014,3,13.75
10565,MEREP,8,11/06/2014,09/07/2014,18/06/2014,2,7.15
10566,BLONP,9,12/06/2014,10/07/2014,18/06/2014,1,88.4
10567,HUNGO,1,12/06/2014,10/07/2014,17/06/2014,1,33.97
10568,GALED,3,13/06/2014,11/07/2014,09/07/2014,3,6.54
10569,RATTC,5,16/06/2014,14/07/2014,11/07/2014,1,58.98
10570,MEREP,3,17/06/2014,15/07/2014,19/06/2014,3,188.99
10571,ERNSH,8,17/06/2014,29/07/2014,04/07/2014,3,26.06
10572,BERGS,3,18/06/2014,16/07/2014,25/06/2014,2,116.43
10573,ANTON,7,19/06/2014,17/07/2014,20/06/2014,3,84.84
10574,TRAIH,4,19/06/2014,17/07/2014,30/06/2014,2,37.6
10575,MORGK,5,20/06/2014,04/07/2014,30/06/2014,1,127.34
10576,TORTU,3,23/06/2014,07/07/2014,30/06/2014,3,18.56
10577,TRAIH,9,23/06/2014,04/08/2014,30/06/2014,2,25.41
10578,BSBEV,4,24/06/2014,22/07/2014,25/07/2014,3,29.6
10579,LETSS,1,25/06/2014,23/07/2014,04/07/2014,2,13.73
10580,OTTIK,4,26/06/2014,24/07/2014,01/07/2014,3,75.89
10581,FAMIA,3,26/06/2014,24/07/2014,02/07/2014,1,3.01
10582,BLAUS,3,27/06/2014,25/07/2014,14/07/2014,2,27.71
10583,WARTH,2,30/06/2014,28/07/2014,04/07/2014,2,7.28
10584,BLONP,4,30/06/2014,28/07/2014,04/07/2014,1,59.14
10585,WELLI,7,01/07/2014,29/07/2014,10/07/2014,1,13.41
10586,REGGC,9,02/07/2014,30/07/2014,09/07/2014,1,0.48
10587,QUEDE,1,02/07/2014,30/07/2014,09/07/2014,1,62.52
10588,QUICK,2,03/07/2014,31/07/2014,10/07/2014,3,194.67
10589,GREAL,8,04/07/2014,01/08/2014,14/07/2014,2,4.42
10590,MEREP,4,07/07/2014,04/08/2014,14/07/2014,3,44.77
10591,VAFFE,1,07/07/2014,21/07/2014,16/07/2014,1,55.92
10592,LEHMS,3,08/07/2014,05/08/2014,16/07/2014,1,32.1
10593,LEHMS,7,09/07/2014,06/08/2014,13/08/2014,2,174.2
10594,OLDWO,3,09/07/2014,06/08/2014,16/07/2014,2,5.24
10595,ERNSH,2,10/07/2014,07/08/2014,14/07/2014,1,96.78
10596,WHITC,8,11/07/2014,08/08/2014,12/08/2014,1,16.34
10597,PICCO,7,11/07/2014,08/08/2014,18/07/2014,3,35.12
10598,RATTC,1,14/07/2014,11/08/2014,18/07/2014,3,44.42
10599,BSBEV,6,15/07/2014,26/08/2014,21/07/2014,3,29.98
10600,HUNGC,4,16/07/2014,13/08/2014,21/07/2014,1,45.13
10601,HILAA,7,16/07/2014,27/08/2014,22/07/2014,1,58.3
10602,VAFFE,8,17/07/2014,14/08/2014,22/07/2014,2,2.92
10603,SAVEA,8,18/07/2014,15/08/2014,08/08/2014,2,48.77
10604,FURIB,1,18/07/2014,15/08/2014,29/07/2014,1,7.46
10605,MEREP,1,21/07/2014,18/08/2014,29/07/2014,2,379.13
10606,TRADH,4,22/07/2014,19/08/2014,31/07/2014,3,79.4
10607,SAVEA,5,22/07/2014,19/08/2014,25/07/2014,1,200.24
10608,TOMSP,4,23/07/2014,20/08/2014,01/08/2014,2,27.79
10609,DUMON,7,24/07/2014,21/08/2014,30/07/2014,2,1.85
10610,LAMAI,8,25/07/2014,22/08/2014,06/08/2014,1,26.78
10611,WOLZA,6,25/07/2014,22/08/2014,01/08/2014,2,80.65
10612,SAVEA,1,28/07/2014,25/08/2014,01/08/2014,2,544.08
10613,HILAA,4,29/07/2014,26/08/2014,01/08/2014,2,8.11
10614,BLAUS,8,29/07/2014,26/08/2014,01/08/2014,3,1.93
10615,WILMK,2,30/07/2014,27/08/2014,06/08/2014,3,0.75
10616,GREAL,1,31/07/2014,28/08/2014,05/08/2014,2,116.53
10617,GREAL,4,31/07/2014,28/08/2014,04/08/2014,2,18.53
10618,MEREP,1,01/08/2014,12/09/2014,08/08/2014,1,154.68
10619,MEREP,3,04/08/2014,01/09/2014,07/08/2014,3,91.05
